     1.000 * 0 1 0 1      0.168      0.000      0.000      0.832    4
     1.000 0 1 1 0 *      0.205      0.000      0.012      0.783    4
     1.000 0 * 1 1 0      0.000      0.000      0.026      0.974    4
     1.000 0 1 * 1 0      0.000      0.000      0.044      0.956    4
     1.000 0 0 1 * 0      0.000      0.000      0.205      0.795    4
     1.000 * 1 1 1 0      0.000      0.000      0.002      0.998    4
     1.000 0 0 1 1 *      0.291      0.000      0.031      0.678    4
     1.000 1 1 0 * 0      0.000      0.000      0.119      0.881    4
     1.000 0 0 1 * 1      0.450      0.000      0.000      0.550    4
     1.000 1 * 1 1 0      0.000      0.000      0.007      0.993    4
     1.000 1 1 * 1 0      0.000      0.000      0.012      0.988    4
